iter	Passed	Remaining
401	14371	21378
402	14408	21344
403	14439	21301
404	14470	21258
405	14501	21217
406	14536	21180
407	14568	21139
408	14601	21098
409	14634	21058
410	14668	21020
411	14704	20986
412	14737	20946
413	14769	20906
414	14804	20869
415	14839	20832
416	14873	20794
417	14905	20753
418	14937	20712
419	14965	20666
420	14995	20623
421	15029	20584
422	15063	20548
423	15095	20507
424	15131	20472
425	15166	20435
426	15197	20394
427	15232	20357
428	15267	20320
429	15298	20279
430	15331	20241
431	15366	20203
432	15399	20164
433	15432	20126
434	15464	20086
435	15496	20045
436	15527	20004
437	15558	19962
438	15591	19924
439	15623	19884
440	15657	19847
441	15692	19810
442	15727	19774
443	15761	19737
444	15795	19700
445	15829	19662
446	15860	19621
447	15893	19582
448	15924	19541
449	15956	19502
450	15990	19465
451	16025	19428
452	16057	19389
453	16088	19348
454	16120	19309
455	16153	19271
456	16187	19234
457	16220	19195
458	16255	19159
459	16287	19120
460	16319	19081
461	16357	19048
462	16390	19010
463	16425	18973
464	16457	18934
465	16487	18893
466	16519	18854
467	16548	18812
468	16580	18772
469	16617	18738
470	16650	18701
471	16683	18663
472	16716	18624
473	16747	18585
474	16780	18546
475	16812	18507
476	16843	18468
477	16873	18426
478	16904	18386
479	16934	18346
480	16966	18306
481	17000	18270
482	17034	18233
483	17068	18197
484	17100	18158
485	17133	18120
486	17169	18085
487	17203	18049
488	17236	18012
489	17269	17974
490	17300	17934
491	17335	17898
492	17371	17864
493	17405	17827
494	17436	17788
495	17468	17750
496	17499	17710
497	17530	17671
498	17566	17636
499	17600	17600
500	17632	17562
501	17664	17523
502	17697	17486
503	17728	17446
504	17759	17407
505	17792	17370
506	17826	17334
507	17859	17296
508	17889	17257
509	17921	17219
510	17955	17182
511	17988	17145
512	18021	17108
513	18053	17070
514	18087	17033
515	18120	16996
516	18153	16959
517	18186	16922
518	18219	16885
519	18252	16848
520	18288	16813
521	18322	16778
522	18356	16741
523	18390	16705
524	18419	16664
525	18450	16626
526	18482	16588
527	18514	16550
528	18549	16515
529	18584	16480
530	18618	16444
531	18651	16407
532	18683	16370
533	18716	16333
534	18751	16298
535	18783	16260
536	18816	16223
537	18847	16185
538	18882	16149
539	18914	16112
540	18949	16077
541	18983	16041
542	19014	16003
543	19045	15964
544	19078	15928
545	19113	15892
546	19144	15854
547	19177	15817
548	19210	15781
549	19242	15743
550	19276	15708
551	19311	15673
552	19342	15635
553	19374	15597
554	19407	15560
555	19439	15523
556	19471	15486
557	19503	15448
558	19535	15411
559	19569	15375
560	19603	15340
561	19634	15302
562	19664	15263
563	19697	15226
564	19727	15188
565	19762	15153
566	19795	15117
567	19828	15080
568	19860	15043
569	19891	15005
570	19925	14970
571	19957	14933
572	19989	14896
573	20021	14859
574	20053	14822
575	20085	14785
576	20116	14747
577	20148	14710
578	20182	14675
579	20215	14638
580	20246	14601
581	20284	14568
582	20316	14531
583	20350	14496
584	20381	14458
585	20412	14421
586	20444	14384
587	20478	14348
588	20513	14313
589	20548	14279
590	20578	14241
591	20610	14204
592	20640	14166
593	20671	14129
594	20705	14093
595	20738	14057
596	20772	14022
597	20802	13984
598	20836	13949
599	20867	13911
600	20901	13876
601	20936	13841
602	20970	13806
603	21004	13771
604	21036	13734
605	21065	13696
606	21096	13659
607	21130	13623
608	21160	13585
