iter	Passed	Remaining
402	12841	19022
403	12872	18989
404	12903	18956
405	12936	18926
406	12968	18895
407	13002	18866
408	13038	18840
409	13067	18805
410	13100	18774
411	13141	18754
412	13177	18729
413	13213	18703
414	13242	18666
415	13278	18640
416	13312	18612
417	13345	18581
418	13378	18550
419	13404	18510
420	13432	18473
421	13462	18438
422	13490	18401
423	13517	18363
424	13547	18329
425	13578	18296
426	13609	18262
427	13638	18226
428	13671	18197
429	13699	18159
430	13730	18126
431	13760	18092
432	13790	18057
433	13817	18020
434	13843	17980
435	13874	17947
436	13902	17910
437	13927	17870
438	13955	17833
439	13987	17802
440	14018	17769
441	14047	17734
442	14080	17703
443	14115	17676
444	14146	17643
445	14183	17617
446	14219	17591
447	14248	17556
448	14276	17520
449	14307	17487
450	14336	17451
451	14369	17421
452	14405	17394
453	14432	17356
454	14461	17322
455	14490	17286
456	14520	17252
457	14549	17217
458	14579	17183
459	14612	17153
460	14646	17125
461	14678	17093
462	14714	17065
463	14747	17036
464	14777	17002
465	14805	16966
466	14834	16931
467	14866	16899
468	14897	16866
469	14930	16836
470	14966	16809
471	14995	16774
472	15025	16741
473	15053	16705
474	15081	16669
475	15111	16634
476	15140	16601
477	15166	16562
478	15196	16529
479	15230	16499
480	15261	16467
481	15294	16437
482	15323	16402
483	15363	16379
484	15391	16343
485	15420	16309
486	15456	16281
487	15490	16251
488	15531	16229
489	15570	16205
490	15604	16176
491	15641	16149
492	15675	16120
493	15711	16092
494	15742	16060
495	15772	16027
496	15801	15992
497	15834	15961
498	15868	15931
499	15901	15901
500	15933	15869
501	15970	15843
502	15999	15808
503	16030	15776
504	16058	15740
505	16089	15707
506	16119	15674
507	16147	15638
508	16175	15603
509	16205	15569
510	16232	15533
511	16260	15498
512	16294	15468
513	16325	15435
514	16354	15401
515	16391	15375
516	16429	15349
517	16462	15318
518	16495	15288
519	16531	15259
520	16569	15233
521	16602	15202
522	16633	15170
523	16667	15140
524	16705	15114
525	16741	15086
526	16779	15060
527	16812	15029
528	16848	15000
529	16885	14973
530	16926	14949
531	16960	14920
532	16997	14892
533	17031	14862
534	17062	14829
535	17089	14794
536	17121	14762
537	17150	14728
538	17180	14694
539	17210	14660
540	17242	14628
541	17274	14597
542	17308	14566
543	17340	14535
544	17372	14503
545	17407	14474
546	17439	14442
547	17469	14409
548	17503	14379
549	17536	14347
550	17569	14317
551	17603	14286
552	17640	14258
553	17670	14226
554	17702	14194
555	17740	14166
556	17773	14135
557	17806	14104
558	17841	14075
559	17873	14043
560	17908	14013
561	17943	13984
562	17973	13950
563	18004	13918
564	18035	13885
565	18067	13854
566	18102	13823
567	18143	13799
568	18177	13768
569	18208	13736
570	18240	13704
571	18267	13668
572	18295	13633
573	18325	13600
574	18361	13571
575	18393	13539
576	18430	13511
577	18460	13478
578	18490	13444
579	18522	13412
580	18557	13383
581	18603	13361
582	18643	13334
583	18676	13304
584	18711	13274
585	18743	13242
586	18778	13212
